,tradingsymbol,instrument_token,mis_multiplier
352,INDHOTEL,387073,3.0
353,ICICIGI,5573121,3.0
354,ICICIBANK,1270529,12.5
355,IBVENTURES,3938305,3.0
356,IBULHSGFIN,7712001,6.3
357,HUDCO,5331201,3.0
358,HSIL,361473,3.0
359,HSCL,3669505,3.0
360,HONAUT,874753,3.0
361,HINDZINC,364545,12.5
362,HINDUNILVR,356865,12.5
363,AXISBANK,1510401,12.5
364,AVANTIFEED,2031617,3.0
365,AUTOAXLES,71169,3.0
366,AUROPHARMA,70401,12.5
367,AUBANK,5436929,3.0
368,ATUL,67329,3.0
369,ATFL,425729,3.0
370,ASTRAZEN,1436161,3.0
371,ASIANPAINT,60417,12.5
372,ASHOKLEY,54273,12.5
373,ASHAPURMIN,51969,3.0
374,ASAHIINDIA,1376769,3.0
375,ARVIND,49409,12.5
376,APOLLOTYRE,41729,12.5
377,APOLLOHOSP,40193,5.0
378,ANANTRAJ,3486721,3.0
379,AMBUJACEM,325121,12.5
380,AMARAJABAT,25601,12.5
381,ALLCARGO,3456257,3.0
382,ALKEM,2995969,3.0
383,ALBK,2760193,11.0
384,AKZOINDIA,375553,3.0
385,ACC,5633,12.5
386,ABFRL,7707649,3.0
387,ABB,3329,3.0
388,ABAN,2561,3.0
389,IDFCFIRSTB,2863105,12.5
390,IDFC,3060993,12.5
391,IDEA,3677697,5.0
392,HINDCOPPER,4592385,3.0
393,HINDALCO,348929,12.5
394,HIKAL,2475009,3.0
395,HGS,3766273,3.0
396,HEXAWARE,2747905,12.5
397,HEROMOTOCO,345089,12.5
398,AARTIIND,1793,3.0
399,ENDURANCE,4818433,3.0
400,EMAMILTD,3460353,3.0
401,ELECTCAST,237569,3.0
402,EIHOTEL,235265,3.0
403,EIDPARRY,234497,3.0
404,AJANTPHARM,2079745,12.5
405,AIAENG,3350017,3.0
406,EICHERMOT,232961,12.5
407,ECLERX,3885825,3.0
408,CEATLTD,3905025,12.5
409,CDSL,5420545,3.0
410,CASTROLIND,320001,12.5
411,ADANIPOWER,4451329,5.0
412,ADANIPORTS,3861249,5.0
413,ADANIENT,6401,5.0
414,ACE,3478273,3.0
415,DRREDDY,225537,5.0
416,DREDGECORP,2885377,3.0
417,DOLPHINOFF,3501569,3.0
418,DMART,5097729,3.0
419,DLF,3771393,8.3
420,DIXON,5552641,3.0
421,DIVISLAB,2800641,8.3
422,DISHTV,3721473,3.0
423,DIAMONDYD,5591041,3.0
424,DHFL,215553,4.0
425,DHAMPURSUG,219393,3.0
426,DEN,4536833,3.0
427,DELTACORP,3851265,3.0
428,DCMSHRIRAM,207617,3.0
429,DCBBANK,3513601,12.5
430,DBL,4630017,3.0
431,DBCORP,4577537,3.0
432,DALMIASUG,199937,3.0
433,DABUR,197633,12.5
434,DAAWAT,3536897,3.0
435,CYIENT,1471489,3.0
436,CUMMINSIND,486657,12.5
437,CUB,1459457,3.0
438,CROMPTON,4376065,3.0
439,CRISIL,193793,3.0
440,COX&KINGS,4558337,3.0
441,COROMANDEL,189185,3.0
442,CONCOR,1215745,12.5
443,CIPLA,177665,12.5
444,CHENNPETRO,524545,12.5
445,CGPOWER,194561,5.0
446,CGCL,5204225,3.0
447,CESC,160769,12.5
448,CEREBRAINT,7683073,3.0
449,CENTURYTEX,160001,12.5
450,CENTURYPLY,3406081,3.0
451,CENTRUM,628225,3.0
452,SATIN,2675969,3.0
453,PRAJIND,692481,3.0
454,PIIND,6191105,3.0
455,PIDILITIND,681985,12.5
456,SPARC,3785729,3.0
457,MUTHOOTFIN,6054401,12.5
458,MUNJALAU,3458817,3.0
459,RECLTD,3930881,12.5
460,NAVINFLUOR,3756033,3.0
461,SOUTHBANK,1522689,11.0
462,SOLARINDS,3412993,3.0
463,SOBHA,3539457,3.0
464,SNOWMAN,1239809,3.0
465,63MOONS,3038209,3.0
466,3MINDIA,121345,3.0
467,COLPAL,3876097,12.5
468,COFFEEDAY,2858241,3.0
469,COCHINSHIP,5506049,3.0
470,COALINDIA,5215745,12.5
471,CNOVAPETRO,8151809,3.0
472,MPHASIS,1152769,3.0
473,RELIANCE,738561,12.5
474,TATASPONGE,419585,3.0
475,LUPIN,2672641,12.5
476,RAJESHEXPO,1894657,3.0
477,PURVA,3820033,3.0
478,RADIOCITY,5088513,3.0
479,RADICO,2813441,3.0
480,QUICKHEAL,3357697,3.0
481,PVR,3365633,12.5
482,POWERGRID,3834113,12.5
483,POLYPLEX,687873,3.0
484,PNBHOUSING,4840449,3.0
485,PNBGILTS,2236417,3.0
486,PNB,2730497,12.5
487,HDFCAMC,1086465,3.0
488,HDFC,340481,12.5
489,HCLTECH,1850625,12.5
490,HCL-INSYS,339713,3.0
491,GODREJPROP,4576001,3.0
492,KSCL,3832833,5.0
493,KRIDHANINF,2938881,3.0
494,KPIT,1790465,5.0
495,NH,3031041,3.0
496,NFL,3564801,3.0
497,IDBI,377857,12.5
498,JAYSREETEA,440321,3.0
499,JAYAGROGN,1034497,3.0
500,ITDCEM,1439233,3.0
501,ITC,424961,12.5
502,INDUSINDBK,1346049,12.5
503,GNFC,300545,3.0
504,GNA,4754177,3.0
505,GMRINFRA,3463169,12.5
506,GMBREW,299009,3.0
507,GLOBUSSPR,4460545,3.0
508,BPCL,134657,12.5
509,BOSCHLTD,558337,12.5
510,OBEROIRLTY,5181953,3.0
511,GLENMARK,1895937,12.5
512,GLAXO,295169,3.0
513,CHOLAFIN,175361,12.5
